Issuer Name,ISIN,Bloomberg ID,Ticker,Cpn,Maturity,Maturity (Years from Today),Curr,Ask Price,Bid Price,Mid Price,Yld to Mty (Ask),Yld to Mty (Bid),Yld to Mty (Mid),Modified Duration (Ask),Modified Duration (Bid),Modified Duration (Mid),Days to Settle
Mexican Bonos,MX0MGO0000T4,EJ8068490,MBONO,4.75,6/14/2018,0.145106092,MXN,99.585,99.58,99.5825,7.744225437,7.781149302,7.762686313,0.133656072,0.133632066,0.133644069,2
Mexican Bonos,MX0MGO0000G1,EH7175118,MBONO,8.5,12/13/2018,0.643394935,MXN,100.626,100.577,100.6015,7.461151442,7.539769258,7.500451824,0.60104376,0.600806308,0.600925037,2
Mexican Bonos,MX0MGO0000V0,EI7361336,MBONO,5,12/11/2019,1.637234771,MXN,96.495,96.443,96.469,7.283826993,7.318595993,7.30120838,1.521556227,1.52127127,1.521413763,2
Mexican Bonos,MX0MGO0000L1,EI1588082,MBONO,8,6/11/2020,2.138261465,MXN,101.47,101.412,101.441,7.245409806,7.274595289,7.25999987,1.904171832,1.903832325,1.904002099,2
Mexican Bonos,MX0MGO0000N7,EI5616079,MBONO,6.5,6/10/2021,3.134839151,MXN,97.816,97.733,97.7745,7.279306493,7.309486679,7.294392666,2.746104442,2.745526446,2.745815506,2
Mexican Bonos,MX0MGO0000Q0,EJ0234298,MBONO,6.5,6/9/2022,4.131416838,MXN,97.142,97.04,97.091,7.301923491,7.3311753,7.316544754,3.505818825,3.504962988,3.505391033,2
Mexican Bonos,MX0MGO000003,ED2028832,MBONO,8,12/7/2023,5.626283368,MXN,103.171,103.004,103.0875,7.30656366,7.34224189,7.324393891,4.415832537,4.413991753,4.414912609,2
Mexican Bonos,MX0MGO000078,ED7791103,MBONO,10,12/5/2024,6.622861054,MXN,114.152,113.955,114.0535,7.291981848,7.326630128,7.30929652,4.831089472,4.828614099,4.829852469,2
Mexican Bonos,MX0MGO0000Y4,QJ1649335,MBONO,5.75,3/5/2026,7.868583162,MXN,90.325,90.151,90.238,7.375001,7.406167,7.390575,6.143857649,6.141134298,6.142496845,2
Mexican Bonos,MX0MGO0000D8,EG1116375,MBONO,7.5,6/3/2027,9.11430527,MXN,100.156,99.99,100.073,7.474182603,7.499378838,7.486774063,6.409007169,6.405808021,6.407408487,2
Mexican Bonos,MX0MGO0000H9,EH6834517,MBONO,8.5,5/31/2029,11.10746064,MXN,107.452,107.179,107.3155,7.505753238,7.540450634,7.523087287,7.127989139,7.121538577,7.124766602,2
Mexican Bonos,MX0MGO0000P2,EI8047355,MBONO,7.75,5/29/2031,13.10061602,MXN,101.413,101.148,101.2805,7.577616501,7.609355831,7.593472089,8.022745356,8.014702745,8.018727573,2
Mexican Bonos,MX0MGO0000U2,EK1693424,MBONO,7.75,11/23/2034,16.58863792,MXN,101.395,100.996,101.1955,7.600108049,7.642220117,7.621134493,9.115199955,9.098933597,9.107077171,2
Mexican Bonos,MX0MGO0000B2,EF7918115,MBONO,10,11/20/2036,18.58179329,MXN,123.47,123.099,123.2845,7.629571594,7.6615846,7.645560154,9.135876484,9.121622346,9.128755942,2
Mexican Bonos,MX0MGO0000J5,EH6944449,MBONO,8.5,11/18/2038,20.57494867,MXN,108.811,108.471,108.641,7.646684288,7.67757486,7.662111304,9.856957172,9.840320148,9.848646524,2
Mexican Bonos,MX0MGO0000R8,EJ1291206,MBONO,7.75,11/13/2042,24.56125941,MXN,100.983,100.602,100.7925,7.659674834,7.693989769,7.676806761,10.72590898,10.70150298,10.71371914,2
Mexican Bonos,MX0MGO000102,AM7523740,MBONO,8,11/7/2047,29.54414784,MXN,103.627,103.367,103.497,7.687373018,7.709077029,7.698213729,11.26527779,11.24591752,11.25560387,2
