Issuer Name,ISIN,Bloomberg ID,Ticker,Cpn,Maturity,Maturity (Years from Today),Curr,Ask Price,Bid Price,Mid Price,Yld to Mty (Ask),Yld to Mty (Bid),Yld to Mty (Mid),Modified Duration (Ask),Modified Duration (Bid),Modified Duration (Mid),Days to Settle
Republic of Poland Government Bond,PL0000107595,EJ6704302,POLGB,2.5,7/25/2018,0.257357974,PLN,100.362,100.3,100.331,1.023942069,1.26794626,1.145907161,0.248679528,0.248528722,0.248604125,2
Republic of Poland Government Bond,PL0000108148,EK2597681,POLGB,3.25,7/25/2019,1.256673511,PLN,102.387,102.313,102.35,1.307800001,1.366534005,1.337157458,1.202680556,1.201966566,1.202323574,2
Republic of Poland Government Bond,PL0000105441,EH5760465,POLGB,5.5,10/25/2019,1.508555784,PLN,106.168,106.086,106.127,1.318168399,1.370768446,1.344459946,1.432323931,1.431556315,1.431940147,2
Republic of Poland Government Bond,PL0000108510,EK7103477,POLGB,1.5,4/25/2020,2.009582478,PLN,99.995,99.928,99.9615,1.502556486,1.536831999,1.519689914,1.955833838,1.955168771,1.955501332,2
Republic of Poland Government Bond,PL0000106126,EI2192058,POLGB,5.25,10/25/2020,2.510609172,PLN,109.006,108.936,108.971,1.547442494,1.57441472,1.560925516,2.326068159,2.325394724,2.325731475,2
Republic of Poland Government Bond,PL0000108916,QJ1203661,POLGB,2,4/25/2021,3.008898015,PLN,100.642,100.578,100.61,1.778343982,1.800354718,1.789346985,2.890365037,2.88972015,2.890042628,2
Republic of Poland Government Bond,PL0000109153,JK5642893,POLGB,1.75,7/25/2021,3.258042437,PLN,99.712,99.652,99.682,1.841071314,1.860297992,1.850682739,3.090198512,3.089572751,3.089885666,2
Republic of Poland Government Bond,PL0000106670,EI7559665,POLGB,5.75,10/25/2021,3.509924709,PLN,112.979,112.862,112.9205,1.881058822,1.91313637,1.897092047,3.150680382,3.149503896,3.150092257,2
Republic of Poland Government Bond,PL0000109492,QZ9387775,POLGB,2.25,4/25/2022,4.008213552,PLN,100.433,100.363,100.398,2.135908639,2.154310338,2.145107439,3.789282818,3.788549519,3.788916219,2
Republic of Poland Government Bond,PL0000102646,EC5478622,POLGB,5.75,9/23/2022,4.421629021,PLN,114.717,114.631,114.674,2.210046556,2.228941155,2.219491565,3.856256419,3.855325948,3.855791261,2
Republic of Poland Government Bond,PL0000107264,EJ4127266,POLGB,4,10/25/2023,5.508555784,PLN,107.603,107.482,107.5425,2.501015271,2.523764499,2.512385902,4.856459294,4.855021104,4.855740393,2
Republic of Poland Government Bond,PL0000108197,EK3155539,POLGB,3.25,7/25/2025,7.258042437,PLN,102.59,102.453,102.5215,2.848160392,2.869024882,2.858588418,6.256773833,6.254819043,6.255796789,2
Republic of Poland Government Bond,PL0000108866,UV8259383,POLGB,2.5,7/25/2026,8.257357974,PLN,96.691,96.546,96.6185,2.956920817,2.977403245,2.967157465,7.188490032,7.186252031,7.187371496,2
Republic of Poland Government Bond,PL0000109427,QZ7524254,POLGB,2.5,7/25/2027,9.256673511,PLN,95.569,95.471,95.52,3.05627252,3.068935643,3.062602158,7.946665344,7.945004315,7.945835075,2
Republic of Poland Government Bond,PL0000107611,EJ6781532,POLGB,2.75,4/25/2028,10.00958248,PLN,97.143,96.903,97.023,3.086406139,3.115200593,3.100792765,8.592715234,8.588663717,8.590690919,2
Republic of Poland Government Bond,PL0000105391,EH5337827,POLGB,5.75,4/25/2029,11.00889802,PLN,124.729,124.234,124.4815,3.067370203,3.114249852,3.090780677,8.486737677,8.477982302,8.482365264,2
Republic of Poland Government Bond,PL0000104857,EG5152517,POLGB,5,4/25/2037,19.00889802,PLN,124.069,123.578,123.8235,3.278022504,3.308628846,3.293305896,12.96370915,12.94810307,12.95591637,2
Republic of Poland Government Bond,PL0000109765,AM5226601,POLGB,4,4/25/2047,29.00752909,PLN,108.548,107.981,108.2645,3.524627355,3.554540138,3.539556876,17.52526999,17.4911405,17.50823526,2
