Issuer Name,ISIN,Bloomberg ID,Ticker,Cpn,Maturity,Maturity (Years from Today),Curr,Ask Price,Bid Price,Mid Price,Yld to Mty (Ask),Yld to Mty (Bid),Yld to Mty (Mid),Modified Duration (Ask),Modified Duration (Bid),Modified Duration (Mid),Days to Settle
Russian Federal Bond - OFZ,RU000A0JVW30,QJ4072006,RFLB,7.5,8/18/2021,3.323750856,RUB,102.1,102.051,102.0755,6.89,6.91,6.9,2.777953203,2.777412889,2.777683071,1
Russian Federal Bond - OFZ,RU000A0JSMA2,EJ3036104,RFLB,7.6,7/20/2022,4.24366872,RUB,103.045,102.86,102.9525,6.87,6.92,6.9,3.414930407,3.412664532,3.413797924,1
Russian Federal Bond - OFZ,RU000A0JXB41,AM3604130,RFLB,7.4,12/7/2022,4.62696783,RUB,102.246,102.152,102.199,6.94,6.96,6.95,3.653984474,3.652758637,3.653371688,1
Russian Federal Bond - OFZ,RU000A0JTJL3,EJ5168889,RFLB,7,1/25/2023,4.761122519,RUB,100.929,100.758,100.8435,6.88,6.92,6.9,3.808431699,3.806196539,3.807314566,1
Russian Federal Bond - OFZ,RU000A0JU4L3,EJ8422747,RFLB,7,8/16/2023,5.316906229,RUB,100.879,100.661,100.77,6.91,6.96,6.94,4.192483138,4.189459602,4.190972178,1
Russian Federal Bond - OFZ,RU000A0JWM07,LW5541799,RFLB,7.75,9/16/2026,8.402464066,RUB,104.059,103.806,103.9325,7.22,7.27,7.25,5.914204245,5.909249568,5.911728651,1
Russian Federal Bond - OFZ,RU000A0JS3W6,EJ0370613,RFLB,8.15,2/3/2027,8.785763176,RUB,106.85,106.755,106.8025,7.21,7.23,7.22,6.003992044,6.002055276,6.003023911,1
Russian Federal Bond - OFZ,RU000A0JTK38,EJ5257898,RFLB,7.05,1/19/2028,9.744010951,RUB,99.299,99.25,99.2745,7.28,7.28,7.28,6.60715051,6.605989081,6.606569882,1
Russian Federal Bond - OFZ,RU000A0JVW48,QJ4075223,RFLB,8.5,9/17/2031,13.40451745,RUB,110.798,110.7,110.749,7.36,7.37,7.36,7.903983191,7.901006364,7.902495181,1
Russian Federal Bond - OFZ,RU000A0JXFM1,AM8549157,RFLB,7.7,3/23/2033,14.91854894,RUB,102.997,102.891,102.944,7.5,7.51,7.51,8.54484234,8.540980449,8.542912009,1
