Issuer Name,ISIN,Bloomberg ID,Ticker,Cpn,Maturity,Maturity (Years from Today),Curr,Ask Price,Bid Price,Mid Price,Yld to Mty (Ask),Yld to Mty (Bid),Yld to Mty (Mid),Modified Duration (Ask),Modified Duration (Bid),Modified Duration (Mid),Days to Settle
Republic of South Africa Government Bond,ZAG000021841,ED4301914,SAGB,8,12/21/2018,0.665297741,ZAR,100.79085,100.73619,100.76352,6.733,6.819,6.77599,0.614055872,0.613793131,0.613924505,3
Republic of South Africa Government Bond,ZAG000024738,ED9578144,SAGB,7.25,1/15/2020,1.733059548,ZAR,100.5668,100.51225,100.539525,6.896,6.93,6.913,1.564893043,1.564601105,1.564747089,3
Republic of South Africa Government Bond,ZAG000030396,EF6566519,SAGB,6.75,3/31/2021,2.940451745,ZAR,98.99503,98.9123,98.953665,7.133,7.165,7.149,2.600346889,2.599830929,2.600088961,3
Republic of South Africa Government Bond,ZAG000096165,EJ2359440,SAGB,7.75,2/28/2023,4.854209446,ZAR,101.01534,100.91468,100.96501,7.49,7.515,7.5025,3.941189239,3.940275556,3.940732532,3
Republic of South Africa Government Bond,ZAG000016320,CP5073947,SAGB,10.5,12/21/2026,8.665297741,ZAR,115.28603,115.15092,115.218475,8.015,8.035,8.025,5.685558456,5.683284733,5.68442203,3
Republic of South Africa Government Bond,ZAG000106998,EJ7500048,SAGB,8,1/31/2030,11.77823409,ZAR,96.99825,96.86094,96.929595,8.406,8.425,8.4155,7.317210177,7.313443196,7.31532758,3
Republic of South Africa Government Bond,ZAG000077470,EI2585962,SAGB,7,2/28/2031,12.85420945,ZAR,88.49989,88.35757,88.42873,8.484,8.504,8.49399,7.95087534,7.946225326,7.948551599,3
Republic of South Africa Government Bond,ZAG000107004,EJ7500097,SAGB,8.25,3/31/2032,13.94113621,ZAR,97.35102,97.20912,97.28007,8.578,8.596,8.587,8.057649034,8.052886346,8.055268835,3
Republic of South Africa Government Bond,ZAG000125972,EK7732887,SAGB,8.875,2/28/2035,16.85420945,ZAR,101.22684,101.05943,101.143135,8.731,8.75,8.74049,8.597237552,8.590295284,8.593768216,3
Republic of South Africa Government Bond,ZAG000030404,EF5565850,SAGB,6.25,3/31/2036,17.94113621,ZAR,77.49786,77.35644,77.42715,8.76,8.779,8.76949,9.561619883,9.553517182,9.557570942,3
Republic of South Africa Government Bond,ZAG000107012,EJ7500196,SAGB,8.5,1/31/2037,18.77891855,ZAR,97.06593,96.87059,96.96826,8.822,8.844,8.83299,8.978249453,8.968597693,8.973426523,3
Republic of South Africa Government Bond,ZAG000125980,EK7733067,SAGB,9,1/31/2040,21.77686516,ZAR,101.06329,100.91886,100.991075,8.888,8.903,8.8955,9.344379756,9.336343401,9.340363202,3
Republic of South Africa Government Bond,ZAG000077488,EI2585921,SAGB,6.5,2/28/2041,22.85557837,ZAR,76.91274,76.77027,76.841505,8.873,8.891,8.88199,10.17178318,10.16066524,10.16622723,3
Republic of South Africa Government Bond,ZAG000106972,EJ7498649,SAGB,8.75,1/31/2044,25.77686516,ZAR,98.19954,98.04177,98.120655,8.929,8.945,8.937,9.850324915,9.839640947,9.844985143,3
Republic of South Africa Government Bond,ZAG000096173,EJ2359143,SAGB,8.75,2/28/2048,29.85352498,ZAR,98.28546,98.09121,98.188335,8.912,8.931,8.92149,10.27692173,10.26203648,10.26948251,3
