Issuer Name,ISIN,Bloomberg ID,Ticker,Cpn,Maturity,Maturity (Years from Today),Curr,Ask Price,Bid Price,Mid Price,Yld to Mty (Ask),Yld to Mty (Bid),Yld to Mty (Mid),Modified Duration (Ask),Modified Duration (Bid),Modified Duration (Mid),Days to Settle
Turkey Government Bond,TRT100719T18,EK3614998,TURKGB,8.5,7/10/2019,1.215605749,TRY,94.375,94.2,94.2875,13.65,13.82,13.74,1.078048344,1.077130066,1.077589334,1
Turkey Government Bond,TRT150120T16,EI1037098,TURKGB,10.5,1/15/2020,1.733059548,TRY,95.45,95.425,95.4375,13.5,13.52,13.51,1.484269661,1.484127247,1.484198457,1
Turkey Government Bond,TRT050220T17,EK7296222,TURKGB,7.4,2/5/2020,1.790554415,TRY,90.5,90.5,90.5,13.53,13.53,13.53,1.573506032,1.573506032,1.573506032,1
Turkey Government Bond,TRT080720T19,AF1742564,TURKGB,9.4,7/8/2020,2.212183436,TRY,92.1,91.8,91.95,13.63,13.8,13.72,1.861294163,1.859369664,1.860332608,1
Turkey Government Bond,TRT170221T12,AH0049611,TURKGB,10.7,2/17/2021,2.825462012,TRY,93.6,93.2,93.4,13.48,13.66,13.57,2.303950803,2.301086459,2.302520138,1
Turkey Government Bond,TRT220921T18,QZ6722255,TURKGB,9.2,9/22/2021,3.419575633,TRY,88.825,88.7,88.7625,13.36,13.41,13.39,2.779491594,2.778475211,2.77898359,1
Turkey Government Bond,TRT120122T17,EI9341138,TURKGB,9.5,1/12/2022,3.726214921,TRY,89.55,89.6,89.575,13.12,13.1,13.11,2.920862492,2.921317576,2.921090069,1
Turkey Government Bond,TRT020322T17,AM7412589,TURKGB,11,3/2/2022,3.86036961,TRY,93.801,93.8,93.8005,13.08,13.08,13.08,2.988902229,2.988893265,2.988897747,1
Turkey Government Bond,TRT140922T17,EJ3484700,TURKGB,8.5,9/14/2022,4.396988364,TRY,85.6,#N/A N/A,#N/A N/A,12.88,#N/A N/A,#N/A N/A,3.451348456,#N/A N/A,#N/A N/A,1
Turkey Government Bond,TRT080323T10,EJ5785054,TURKGB,7.1,3/8/2023,4.876112252,TRY,80.15,79.8,79.975,12.67,12.78,12.72,3.838320982,3.834266192,3.836296221,1
Turkey Government Bond,TRT270923T11,EJ8700001,TURKGB,8.8,9/27/2023,5.431895962,TRY,85.4,85.2,85.3,12.58,12.64,12.61,4.065937726,4.06338556,4.064662559,1
Turkey Government Bond,TRT200324T13,EK1551887,TURKGB,10.4,3/20/2024,5.911019849,TRY,92,#N/A N/A,#N/A N/A,12.34,#N/A N/A,#N/A N/A,4.208260625,#N/A N/A,#N/A N/A,1
Turkey Government Bond,TRT240724T15,EK4199411,TURKGB,9,7/24/2024,6.255989049,TRY,86,85.9,85.95,12.26,12.28,12.27,4.426306482,4.42475406,4.425530557,1
Turkey Government Bond,TRT120325T12,EK7797005,TURKGB,8,3/12/2025,6.88843258,TRY,80.4,80.399,80.3995,12.29,12.29,12.29,4.893591018,4.893573467,4.893582242,1
Turkey Government Bond,TRT110226T13,AH0050577,TURKGB,10.6,2/11/2026,7.808350445,TRY,91.4,91.2,91.3,12.34,12.38,12.36,4.984860033,4.980937892,4.982900337,1
Turkey Government Bond,TRT240227T17,AM7418404,TURKGB,11,2/24/2027,8.843258042,TRY,93.55,93.3,93.425,12.2,12.25,12.23,5.361165314,5.355594304,5.358382191,1
